Country Name,Country Code,Indicator Name,Indicator Code,2019
Aruba,ABW,CO2 emissions (kt),EN.ATM.CO2E.KT,
Africa Eastern and Southern,AFE,CO2 emissions (kt),EN.ATM.CO2E.KT,603030
Afghanistan,AFG,CO2 emissions (kt),EN.ATM.CO2E.KT,6080
Africa Western and Central,AFW,CO2 emissions (kt),EN.ATM.CO2E.KT,220740
Angola,AGO,CO2 emissions (kt),EN.ATM.CO2E.KT,25210
Albania,ALB,CO2 emissions (kt),EN.ATM.CO2E.KT,4830
Andorra,AND,CO2 emissions (kt),EN.ATM.CO2E.KT,500
Arab World,ARB,CO2 emissions (kt),EN.ATM.CO2E.KT,1886219
United Arab Emirates,ARE,CO2 emissions (kt),EN.ATM.CO2E.KT,188860
Argentina,ARG,CO2 emissions (kt),EN.ATM.CO2E.KT,168100
Armenia,ARM,CO2 emissions (kt),EN.ATM.CO2E.KT,6170
American Samoa,ASM,CO2 emissions (kt),EN.ATM.CO2E.KT,
Antigua and Barbuda,ATG,CO2 emissions (kt),EN.ATM.CO2E.KT,520
Australia,AUS,CO2 emissions (kt),EN.ATM.CO2E.KT,386530
Austria,AUT,CO2 emissions (kt),EN.ATM.CO2E.KT,64770
Azerbaijan,AZE,CO2 emissions (kt),EN.ATM.CO2E.KT,35510
Burundi,BDI,CO2 emissions (kt),EN.ATM.CO2E.KT,720
Belgium,BEL,CO2 emissions (kt),EN.ATM.CO2E.KT,93010
Benin,BEN,CO2 emissions (kt),EN.ATM.CO2E.KT,7300
Burkina Faso,BFA,CO2 emissions (kt),EN.ATM.CO2E.KT,5000
Bangladesh,BGD,CO2 emissions (kt),EN.ATM.CO2E.KT,90740
Bulgaria,BGR,CO2 emissions (kt),EN.ATM.CO2E.KT,39140
Bahrain,BHR,CO2 emissions (kt),EN.ATM.CO2E.KT,33260
"Bahamas, The",BHS,CO2 emissions (kt),EN.ATM.CO2E.KT,2840
Bosnia and Herzegovina,BIH,CO2 emissions (kt),EN.ATM.CO2E.KT,21070
Belarus,BLR,CO2 emissions (kt),EN.ATM.CO2E.KT,57670
Belize,BLZ,CO2 emissions (kt),EN.ATM.CO2E.KT,640
Bermuda,BMU,CO2 emissions (kt),EN.ATM.CO2E.KT,
Bolivia,BOL,CO2 emissions (kt),EN.ATM.CO2E.KT,22340
Brazil,BRA,CO2 emissions (kt),EN.ATM.CO2E.KT,434300
Barbados,BRB,CO2 emissions (kt),EN.ATM.CO2E.KT,1250
Brunei Darussalam,BRN,CO2 emissions (kt),EN.ATM.CO2E.KT,6990
Bhutan,BTN,CO2 emissions (kt),EN.ATM.CO2E.KT,1050
Botswana,BWA,CO2 emissions (kt),EN.ATM.CO2E.KT,7250
Central African Republic,CAF,CO2 emissions (kt),EN.ATM.CO2E.KT,240
Canada,CAN,CO2 emissions (kt),EN.ATM.CO2E.KT,580210
Central Europe and the Baltics,CEB,CO2 emissions (kt),EN.ATM.CO2E.KT,641570
